jahr,hauptgruppe,untergruppe,nfr,thg,thg_agg,emission,quelle,einheit,einheit_lang
1990,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,61740,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,54348,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,54488,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,50792,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,46200,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,46312,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,45472,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,44352,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,43036,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,42112,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,42112,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,43316,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,44240,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,42028,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,43120,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,42476,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,42000,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,40460,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,38584,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,36708,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,35196,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,33600,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,32116,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,30744,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,29568,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,28196,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,26908,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,25648,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,24276,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,22876,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,21812,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,20720,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,CH4,CO2eq,19712,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfalldeponie,5A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abwasserbehandlung,5D,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,35637.289375491615,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,34171.26894150438,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,33888.311217321934,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,33481.640623136285,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,32383.435692414107,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,31710.8186402216,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,31584.165629458126,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,31057.289507909984,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,30486.20540593584,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abwasserbehandlung,5D,CH4,CO2eq,30362.930054860026,Region,t/a,Tonnen pro Jahr
